sample_id,molecule_h5,Status,Tissue
GSM3576416,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576416/outs/molecule_info.h5,UC,PBMC
GSM3576401,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576401/outs/molecule_info.h5,UC,rectum
GSM3576408,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576408/outs/molecule_info.h5,control,rectum
GSM3576396,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576396/outs/molecule_info.h5,control,rectum
GSM3576397,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576397/outs/molecule_info.h5,control,rectum
GSM3576399,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576399/outs/molecule_info.h5,UC,rectum
GSM3576400,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576400/outs/molecule_info.h5,UC,rectum
GSM3576402,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576402/outs/molecule_info.h5,UC,rectum
GSM3576404,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576404/outs/molecule_info.h5,UC,rectum
GSM3576406,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576406/outs/molecule_info.h5,control,rectum
GSM3576407,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576407/outs/molecule_info.h5,control,rectum
GSM3576409,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576409/outs/molecule_info.h5,control,rectum
GSM3576410,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576410/outs/molecule_info.h5,control,rectum
GSM3576411,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576411/outs/molecule_info.h5,control,PBMC
GSM3576412,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576412/outs/molecule_info.h5,control,PBMC
GSM3576414,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576414/outs/molecule_info.h5,UC,PBMC
GSM3576415,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576415/outs/molecule_info.h5,UC,PBMC
GSM3576417,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576417/outs/molecule_info.h5,UC,PBMC
GSM3576418,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576418/outs/molecule_info.h5,UC,PBMC
GSM3576419,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576419/outs/molecule_info.h5,UC,PBMC
GSM3576420,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576420/outs/molecule_info.h5,control,PBMC
GSM3576421,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576421/outs/molecule_info.h5,control,PBMC
GSM3576422,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576422/outs/molecule_info.h5,control,PBMC
GSM3576423,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576423/outs/molecule_info.h5,control,PBMC
GSM3576424,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576424/outs/molecule_info.h5,control,PBMC
GSM3576425,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576425/outs/molecule_info.h5,control,PBMC
GSM3576426,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576426/outs/molecule_info.h5,control,ileum
GSM3576427,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576427/outs/molecule_info.h5,control,ileum
GSM3576428,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576428/outs/molecule_info.h5,control,ileum
GSM3576429,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576429/outs/molecule_info.h5,control,ileum
GSM3576430,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576430/outs/molecule_info.h5,control,ileum
GSM3576398,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576398/outs/molecule_info.h5,control,rectum
GSM3576403,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576403/outs/molecule_info.h5,UC,rectum
GSM3576405,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576405/outs/molecule_info.h5,UC,rectum
GSM3576413,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576413/outs/molecule_info.h5,UC,PBMC
GSM3576431,/groups/pavri/bioinfo/daniel/scStary/cellranger/GSM3576431/outs/molecule_info.h5,control,ileum
